"=""2020-01-03""",2642
"=""2020-01-03""",2
"=""2020-01-03""",31
"=""2020-01-05""",692
"=""2020-01-07""",597
"=""2020-01-10""",3081
"=""2020-01-10""",2791
"=""2020-01-10""",300
"=""2020-01-10""",100
"=""2020-01-10""",69
"=""2020-01-10""",1
"=""2020-01-15""",1020
"=""2020-01-17""",4155
"=""2020-01-17""",3775
"=""2020-01-17""",7
"=""2020-01-17""",13
"=""2020-01-17""",23
"=""2020-01-19""",651
"=""2020-01-20""",143
"=""2020-01-23""",534
"=""2020-01-24""",2571
"=""2020-01-24""",2675
"=""2020-01-24""",617
"=""2020-01-24""",102
"=""2020-01-24""",81
"=""2020-01-24""",9
"=""2020-01-24""",22
"=""2020-01-24""",0
"=""2020-01-29""",35
"=""2020-01-31""",3049
"=""2020-01-31""",3007
"=""2020-01-31""",536
"=""2020-01-31""",53
"=""2020-01-31""",25
"=""2020-01-31""",45
"=""2020-01-31""",21
"=""2020-01-31""",2
"=""2020-01-31""",0
"=""2020-01-31""",0
"=""2020-02-07""",4236
"=""2020-02-07""",29
"=""2020-02-07""",395
"=""2020-02-07""",23
"=""2020-02-07""",2
"=""2020-02-07""",0
"=""2020-02-07""",0
"=""2020-02-07""",6
"=""2020-02-07""",0
"=""2020-02-09""",650
"=""2020-02-11""",9
"=""2020-02-12""",330
"=""2020-02-12""",8
"=""2020-02-12""",71
"=""2020-02-14""",4198
"=""2020-02-14""",2784
"=""2020-02-14""",2516
"=""2020-02-14""",2311
"=""2020-02-14""",85
"=""2020-02-14""",68
"=""2020-02-14""",11
"=""2020-02-14""",10
"=""2020-02-14""",9
"=""2020-02-14""",35
"=""2020-02-14""",22
"=""2020-02-14""",19
"=""2020-02-14""",4
"=""2020-02-14""",2
"=""2020-02-14""",23
"=""2020-02-14""",2
"=""2020-02-14""",0
"=""2020-02-18""",807
"=""2020-02-19""",605
"=""2020-02-20""",472
"=""2020-02-21""",3914
"=""2020-02-21""",2151
"=""2020-02-21""",1900
"=""2020-02-21""",350
"=""2020-02-21""",84
"=""2020-02-21""",30
"=""2020-02-21""",25
"=""2020-02-21""",10
"=""2020-02-21""",1732
"=""2020-02-21""",152
"=""2020-02-21""",29
"=""2020-02-21""",373
"=""2020-02-21""",2
"=""2020-02-21""",3
"=""2020-02-21""",4
"=""2020-02-21""",5
"=""2020-02-21""",0
"=""2020-02-21""",0
"=""2020-02-21""",0
"=""2020-02-24""",0
"=""2020-02-26""",1231
"=""2020-02-28""",3636
"=""2020-02-21""",1900
"=""2020-02-28""",19
"=""2020-02-28""",109
"=""2020-02-28""",596
"=""2020-02-28""",165
"=""2020-02-28""",8
"=""2020-02-28""",2
"=""2020-02-28""",5
"=""2020-02-28""",23
"=""2020-02-28""",0
"=""2020-02-28""",4
"=""2020-02-28""",0
"=""2020-02-21""",1732
"=""2020-03-06""",4310
"=""2020-03-06""",2718
"=""2020-03-06""",265
"=""2020-03-06""",162
"=""2020-03-06""",80
"=""2020-03-06""",19
"=""2020-03-06""",132
"=""2020-03-06""",15
"=""2020-03-06""",25
"=""2020-03-06""",39
"=""2020-03-06""",6
"=""2020-03-06""",3
"=""2020-03-06""",2
"=""2020-03-06""",6
"=""2020-03-06""",1
"=""2020-03-06""",5
"=""2020-03-06""",1
"=""2020-03-06""",3
"=""2020-03-06""",42
"=""2020-03-06""",0
"=""2020-03-06""",0
"=""2020-03-06""",0
"=""2020-03-09""",519
"=""2020-03-13""",3250
"=""2020-03-13""",3028
"=""2020-03-13""",2861
"=""2020-03-13""",20
"=""2020-03-13""",18
"=""2020-03-13""",9
"=""2020-03-13""",4
"=""2020-03-13""",3
"=""2020-03-13""",2
"=""2020-03-13""",1
"=""2020-03-13""",0
"=""2020-03-13""",0
"=""2020-03-13""",0
"=""2020-03-13""",0
"=""2020-03-15""",278
"=""2020-03-17""",0
"=""2020-03-20""",33
"=""2020-03-20""",0
"=""2020-03-20""",0
"=""2020-03-20""",0
"=""2020-03-20""",0
"=""2020-03-27""",2
"=""2020-03-27""",1
"=""2020-04-03""",1
"=""2020-04-10""",0
"=""2020-04-24""",5
"=""2020-05-01""",99
"=""2020-05-08""",9
"=""2020-05-08""",0
"=""2020-05-22""",4
"=""2020-05-22""",10
"=""2020-05-22""",0
"=""2020-05-29""",10
"=""2020-05-29""",0
